"Date_Time","Year","Month","Day_Type","Holiday","FasciaAEEG","Total_Power","DIMAT","Refrigeration_unit2","Data_centre","Bar_Ambrogio","Canteen","Rectory","Print_shop","Allocated","Not_allocated"
2019-01-01 00:00:00,2019,"Jan","Tue","Yes","F23",116.4,3.6,2.4,34.8,1.6,8,10.8,0,61.2,55.2
2019-01-01 00:15:00,2019,"Jan","Tue","Yes","F23",125.6,4,2.8,36,2,9.6,14.8,0.4,69.6,56
2019-01-01 00:30:00,2019,"Jan","Tue","Yes","F23",119.2,4,2.4,34.8,1.6,8,12.4,0.4,63.6,55.6
2019-01-01 00:45:00,2019,"Jan","Tue","Yes","F23",120.8,3.6,2.8,35.6,2.4,8,10.8,0.4,63.6,57.2
2019-01-01 01:00:00,2019,"Jan","Tue","Yes","F23",126.8,4,2.8,35.6,2,14.4,10.8,0,69.6,57.2
2019-01-01 01:15:00,2019,"Jan","Tue","Yes","F23",124.4,4,2.4,34.8,2,18,10.4,0.4,72,52.4
2019-01-01 01:30:00,2019,"Jan","Tue","Yes","F23",126.4,3.6,2.8,35.6,2,18.8,10.8,0.8,74.4,52
2019-01-01 01:45:00,2019,"Jan","Tue","Yes","F23",118.8,4,2.4,34.8,1.6,18,11.2,0.4,72.4,46.4
2019-01-01 02:00:00,2019,"Jan","Tue","Yes","F23",126,3.6,2.8,36,2,18.8,10.8,0,74,52
2019-01-01 02:15:00,2019,"Jan","Tue","Yes","F23",122.8,4,2.8,35.6,2,18.8,10.8,0.4,74.4,48.4
2019-01-01 02:30:00,2019,"Jan","Tue","Yes","F23",121.6,3.6,2.4,34.8,1.6,18,10.8,0.4,71.6,50
2019-01-01 02:45:00,2019,"Jan","Tue","Yes","F23",126.8,4,2.8,36,2,18.4,10.8,0.4,74.4,52.4
2019-01-01 03:00:00,2019,"Jan","Tue","Yes","F23",125.2,4,2.8,35.6,2.4,18.4,10.8,0,74,51.2
2019-01-01 03:15:00,2019,"Jan","Tue","Yes","F23",122.8,3.6,2.4,35.2,1.6,18,10.8,0.4,72,50.8
2019-01-01 03:30:00,2019,"Jan","Tue","Yes","F23",124.4,4,2.8,35.6,2,18.4,11.2,0.8,74.8,49.6
2019-01-01 03:45:00,2019,"Jan","Tue","Yes","F23",120.4,3.6,2.4,34.8,1.6,17.6,10.8,0.4,71.2,49.2
2019-01-01 04:00:00,2019,"Jan","Tue","Yes","F23",123.2,4,2.8,36,2,18.8,10.8,0.4,74.8,48.4
2019-01-01 04:15:00,2019,"Jan","Tue","Yes","F23",124.4,3.6,2.8,36,1.6,18.8,11.2,0,74,50.4
2019-01-01 04:30:00,2019,"Jan","Tue","Yes","F23",124.4,4,2.4,34.8,2,18.8,10.8,0.4,73.2,51.2
