"Type","Unit","Symbol","System"
"","","",""
"Acceleration","Metre per square Second","m/s^2","SI"
"AmountOfSubstance","Mole","mol","SI"
"Angle","Radian","rad","SI"
"Angle","Degree","deg","SI"
"Angle","Minute Angle","'","SI"
"Angle","Second Angle","''","SI"
"Area","Square Metre","m^2","SI"
"DataAmount","Bit","bit","SI"
"DataAmount","Megabit","Mbit","SI"
"DataAmount","Kilobit","kbit","SI"
"DataAmount","Gigabit","Gbit","SI"
"DataAmount","Terabit","Tbit","SI"
"DataAmount","Byte","B","SI"
"DataTransferRate","Bit per Second","bit/s","SI"
"DataTransferRate","Kilobit per Second","kbit/s","SI"
"DataTransferRate","Megabit per Second","Mbit/s","SI"
"DataTransferRate","Gigabit per Second","Gbit/s","SI"
"DataTransferRate","Terabit per Second","Tbit/s","SI"
"Density","Gram per cubic Metre","g/m^3","SI"
"Dimensionless","Percent","%","SI"
"Dimensionless","Parts per Million","ppm","SI"
"Dimensionless","Decibel","dB","SI"
"ElectricPotential","Volt","V","SI"
"ElectricCapacitance","Farad","F","SI"
"ElectricCharge","Coulomb","C","SI"
"ElectricConductance","Siemens","S","SI"
"ElectricCurrent","Ampere","A","SI"
"ElectricInductance","Henry","H","SI"
"ElectricResistance","Ohm","Ohm","SI"
"Energy","Joule","J","SI"
"Energy","Watt Second","Ws","SI"
"Energy","Watt Hour","Wh","SI"
"Energy","Kilowatt Hour","kWh","SI"
"Energy","Kilovar Hour","kvarh","SI"
"Force","Newton","N","SI"
"Frequency","Hertz","Hz","SI"
"Illuminance","Lux","lx","SI"
"Intensity","Irradiance","W/m^2","SI"
"Intensity","Watt per square Centimeter","W/cm^2","SI"
"Length","Metre","m","SI"
"LuminousFlux","Lumen","lm","SI"
"LuminousIntensity","Candela","cd","SI"
"MagneticFlux","Weber","Wb","SI"
"MagneticFluxDensity","Tesla","T","SI"
"Mass","Kilogram","kg","SI"
"Mass","Gram","g","SI"
"Power","Watt","W","SI"
"Power","Kilovar","kvar","SI"
"Power","Decibel-Milliwatts","dBm","SI"
"Pressure","Pascal","Pa","SI"
"Pressure","Hectopascal","hPa","SI"
"Pressure","Millimetre of Mercury","mmHg","SI"
"Pressure","Bar","bar","SI"
"Pressure","Millibar","mbar","SI"
"Radioactivity","Becquerel","Bq","SI"
"RadiationDoseAbsorbed","Gray","Gy","SI"
"RadiationDoseEffective","Sievert","Sv","SI"
"SolidAngle","Steradian","sr","SI"
"Speed","Metre per Second","m/s","SI"
"Speed","Millimetre per Hour","mm/h","SI"
"Speed","Kilometre per Hour","km/h","SI"
"Speed","Knot","kn","SI"
"Temperature","Kelvin","K","SI"
"Temperature","Celsius","¡C","SI"
"Time","Second","s","SI"
"Time","Minute","min","SI"
"Time","Hour","h","SI"
"Time","Day","d","SI"
"Time","Week","week","SI"
"Time","Year","y","SI"
"Volume","Litre","l","SI"
"Volume","Cubic metre","m^3","SI"
"VolumetricFlowRate","Litre per Minute","l/min","SI"
"VolumetricFlowRate","Cubic Metre per Second","m^3/s","SI"
"VolumetricFlowRate","Cubic Metre per Minute","m^3/min","SI"
"VolumetricFlowRate","Cubic Metre per Hour","m^3/h","SI"
"VolumetricFlowRate","Cubic Metre per Day","m^3/d","SI"
"Pressure","Inch of Mercury","inHg","Imperial"
"Temperature","Fahrenheit","¡F","Imperial"
"Speed","Miles per Hour","mph","Imperial"
"Length","Inch","in","Imperial"
"Length","Foot","ft","Imperial"
"Length","Yard","yd","Imperial"
"Length","Chain","ch","Imperial"
"Length","Furlong","fur","Imperial"
"Length","Mile","mi","Imperial"
"Length","League","lea","Imperial"
